カラット,カット,色,透明度,奥行き,テーブル,価格,長さ,幅,深さ,鑑定書,産地
1.38,Good,F,IF,67.2,58.0,5816,5.22,5.19,3.11,前田鉱業合同会社鑑定所,南アフリカ
2.46,Good,E,VVS2,59.4,56.5,17805,5.73,5.65,3.43,合同会社長谷川通信鑑定所,ボツワナ
3.44,Very Good,F,I1,57.1,59.2,33785,7.14,7.06,4.27,渡辺銀行株式会社鑑定所,南アフリカ
0.82,Premium,D,IF,65.1,60.3,1880,4.32,4.34,2.45,鈴木食品有限会社鑑定所,南アフリカ
0.79,Very Good,E,VVS1,60.7,65.1,2074,4.43,4.25,2.73,佐藤食品株式会社鑑定所,南アフリカ
2.0,Premium,I,VS2,59.0,64.0,12396,6.16,6.05,3.99,斎藤保険有限会社鑑定所,ロシア
2.32,Premium,G,VS1,49.9,61.7,16986,6.88,6.68,4.0,坂本銀行合同会社鑑定所,オーストラリア
1.21,Premium,H,VS2,63.1,56.9,5632,5.05,4.95,3.06,株式会社後藤情報鑑定所,オーストラリア
0.51,Ideal,J,VVS2,65.2,62.6,903,3.69,3.66,2.29,合同会社吉田電気鑑定所,カナダ
1.47,Fair,J,SI1,51.8,58.3,4365,5.8,5.68,4.0,有限会社山本通信鑑定所,ロシア
0.64,Very Good,I,IF,66.9,65.0,1065,3.9,3.88,2.25,株式会社佐藤銀行鑑定所,ボツワナ
1.89,Good,F,VVS2,48.8,60.7,8072,5.73,5.59,3.74,株式会社佐藤情報鑑定所,ボツワナ
1.14,Very Good,G,SI2,57.2,61.3,3642,5.27,5.33,2.79,井上銀行有限会社鑑定所,ボツワナ
0.86,Very Good,G,VVS2,56.3,56.1,2187,4.16,4.13,2.52,阿部銀行株式会社鑑定所,カナダ
0.85,Ideal,G,IF,59.0,59.8,3151,4.63,4.56,2.72,株式会社佐藤ガス鑑定所,オーストラリア
0.98,Ideal,F,I1,57.1,60.0,3423,4.37,4.27,2.72,有限会社加藤保険鑑定所,ボツワナ
0.79,Premium,E,SI2,61.5,56.8,1539,3.95,3.91,1.95,高橋食品有限会社鑑定所,オーストラリア
1.05,Good,I,SI2,57.7,58.2,2742,4.83,4.79,2.7,斉藤情報株式会社鑑定所,ボツワナ
0.95,Very Good,I,IF,58.7,60.5,2699,4.65,4.6,2.83,合同会社小林電気鑑定所,オーストラリア
1.46,Premium,J,SI2,58.3,60.6,6305,5.15,4.88,3.33,伊藤水産有限会社鑑定所,南アフリカ
1.16,Premium,G,VVS2,63.8,59.0,4114,5.1,4.99,2.97,西村電気有限会社鑑定所,南アフリカ
1.61,Very Good,J,VS2,65.3,66.7,8650,5.99,5.97,2.95,池田農林合同会社鑑定所,ロシア
2.27,Premium,E,I1,71.5,55.8,18767,6.4,6.23,3.04,山下ガス有限会社鑑定所,オーストラリア
0.44,Very Good,G,VVS1,66.6,60.3,637,3.14,3.13,2.04,株式会社近藤鉱業鑑定所,ロシア
0.88,Ideal,D,VS2,55.2,57.4,2905,4.41,4.37,2.64,鈴木銀行株式会社鑑定所,ロシア
0.61,Ideal,G,SI1,54.7,60.2,1233,3.97,3.84,2.69,藤田建設株式会社鑑定所,カナダ
1.05,Premium,J,SI2,65.8,57.0,3177,4.53,4.43,2.61,村上農林有限会社鑑定所,オーストラリア
1.03,Premium,E,VS1,65.7,59.1,3433,4.79,4.74,2.56,株式会社斎藤電気鑑定所,南アフリカ
1.45,Very Good,H,VS2,56.1,66.7,5889,5.74,5.53,3.51,小川印刷合同会社鑑定所,南アフリカ
0.54,Premium,I,I1,64.8,66.6,939,3.75,3.68,2.22,林情報有限会社鑑定所,ボツワナ
1.44,Good,J,SI2,69.5,65.1,4865,5.42,5.14,3.09,小林食品合同会社鑑定所,ロシア
0.81,Ideal,G,VVS2,54.5,57.9,2455,4.22,4.0,2.65,田中鉱業合同会社鑑定所,南アフリカ
0.6,Ideal,G,VS1,52.2,56.7,1564,3.95,3.83,2.5,有限会社渡辺ガス鑑定所,ボツワナ
1.44,Very Good,E,SI2,62.8,60.2,7288,5.35,5.17,3.2,合同会社高橋保険鑑定所,オーストラリア
1.93,Good,I,VVS2,61.9,57.3,10714,6.14,5.98,3.68,清水印刷株式会社鑑定所,ロシア
0.87,Good,F,VS2,56.3,60.7,2051,4.6,4.52,3.04,高橋建設合同会社鑑定所,南アフリカ
1.08,Good,F,VVS2,52.3,56.3,3931,4.69,4.56,2.54,株式会社三浦食品鑑定所,南アフリカ
0.7,Very Good,G,VVS2,61.3,60.0,1777,3.88,3.87,2.34,山本食品株式会社鑑定所,オーストラリア
1.01,Very Good,E,SI2,61.3,58.9,2319,5.01,5.01,3.45,中島建設有限会社鑑定所,南アフリカ
0.8,Very Good,H,SI2,60.6,62.1,1829,4.19,4.11,2.63,株式会社清水鉱業鑑定所,オーストラリア
3.43,Premium,F,VS2,55.0,61.5,37649,6.12,6.0,3.56,高橋銀行有限会社鑑定所,カナダ
1.03,Very Good,E,VS2,67.7,63.7,2868,4.65,4.44,2.93,渡辺水産合同会社鑑定所,ロシア
1.77,Good,J,SI2,64.4,56.3,6767,6.08,5.94,3.19,有限会社高橋印刷鑑定所,オーストラリア
0.88,Good,E,VVS2,52.3,62.7,2144,4.3,4.22,2.43,有限会社松本水産鑑定所,カナダ
1.61,Premium,F,VS2,49.1,56.0,8900,5.9,5.66,3.66,山本食品有限会社鑑定所,オーストラリア
0.96,Premium,E,VVS1,52.6,60.6,2885,3.99,3.87,2.47,石井印刷株式会社鑑定所,オーストラリア
1.23,Good,F,VS1,53.5,54.8,4534,4.94,4.8,3.17,佐藤農林有限会社鑑定所,オーストラリア
1.0,Premium,G,SI2,55.6,53.2,3667,4.44,4.14,2.56,清水運輸有限会社鑑定所,オーストラリア
1.16,Ideal,I,VS2,60.8,61.8,4466,4.82,4.69,2.87,松本水産合同会社鑑定所,ボツワナ
1.29,Very Good,E,IF,57.0,59.8,5172,4.99,4.99,2.96,田中電気合同会社鑑定所,南アフリカ
1.49,Ideal,H,IF,48.6,56.8,8933,5.3,5.14,2.98,福田運輸株式会社鑑定所,オーストラリア
0.41,Premium,I,VVS2,55.7,57.4,558,3.3,3.25,2.02,合同会社田中運輸鑑定所,南アフリカ
1.26,Fair,I,SI2,61.3,64.6,4605,4.85,4.84,2.92,合同会社山田銀行鑑定所,カナダ
1.29,Good,I,VVS1,49.2,62.9,4589,4.82,4.7,2.71,坂本鉱業株式会社鑑定所,ボツワナ
0.9,Ideal,F,SI1,62.7,66.4,2805,4.2,4.21,2.45,有限会社佐藤通信鑑定所,オーストラリア
1.41,Ideal,E,IF,55.9,62.7,6240,5.27,5.15,3.06,合同会社田中銀行鑑定所,カナダ
1.22,Ideal,D,VVS1,68.5,60.7,5019,5.27,5.17,3.24,株式会社森印刷鑑定所,ロシア
3.67,Good,E,VVS1,66.6,60.7,40061,7.23,6.92,4.26,中川食品有限会社鑑定所,カナダ
0.9,Ideal,H,I1,62.2,63.6,2672,4.86,4.8,2.62,中村建設合同会社鑑定所,カナダ
0.74,Premium,I,SI2,63.2,61.4,1849,4.26,4.24,2.8,有限会社田中情報鑑定所,ロシア
2.37,Ideal,H,SI2,66.3,58.3,19435,5.75,5.43,3.01,合同会社森通信鑑定所,ロシア
3.59,Good,I,VVS1,58.5,60.2,34012,7.15,7.37,4.17,有限会社山本情報鑑定所,ロシア
0.66,Good,F,VS2,67.4,56.6,1190,4.19,4.19,2.53,藤田情報株式会社鑑定所,南アフリカ
0.91,Very Good,I,VVS1,69.3,56.8,2590,4.19,4.12,2.63,佐藤運輸合同会社鑑定所,ロシア
