年月日,年,月,人口,失業率,GDP指数,消費者物価指数,株価指数,為替レート
2020-01-01,2020,1,125799378,2.3,101.5,102.7,40721.0,119.38
2020-02-01,2020,2,125797991,2.3,100.1,103.1,40672.0,109.72
2020-03-01,2020,3,125797131,2.2,102.9,100.5,40697.0,113.63
2020-04-01,2020,4,125796372,2.3,102.5,101.2,42379.0,116.73
2020-05-01,2020,5,125796168,2.3,101.6,100.1,40384.0,115.47
2020-06-01,2020,6,125794322,2.5,101.4,99.6,39267.0,101.73
2020-07-01,2020,7,125793734,2.5,99.8,98.0,39615.0,118.35
2020-08-01,2020,8,125792604,2.4,99.0,100.2,37102.0,109.73
2020-09-01,2020,9,125791488,2.5,100.2,103.1,39779.0,104.47
2020-10-01,2020,10,125791775,2.6,99.7,100.9,40146.0,109.28
2020-11-01,2020,11,125790488,2.5,99.4,99.9,39161.0,110.53
2020-12-01,2020,12,125789361,2.8,96.7,103.3,40579.0,99.63
2021-01-01,2021,1,125788189,2.8,95.5,99.6,37983.0,118.76
2021-02-01,2021,2,125787657,3.0,96.5,99.0,38772.0,112.45
2021-03-01,2021,3,125786046,3.1,96.7,100.7,40041.0,112.22
2021-04-01,2021,4,125784866,3.3,95.9,102.7,39782.0,108.45
2021-05-01,2021,5,125784029,3.3,97.0,101.2,38874.0,115.25
2021-06-01,2021,6,125782676,3.2,95.4,102.9,37800.0,118.77
2021-07-01,2021,7,125780636,3.4,95.8,101.6,38607.0,112.0
2021-08-01,2021,8,125779617,3.5,95.9,102.2,38807.0,109.72
2021-09-01,2021,9,125778771,3.3,94.5,103.5,39067.0,109.08
2021-10-01,2021,10,125777780,3.3,94.0,100.5,38987.0,105.11
2021-11-01,2021,11,125776984,3.1,95.1,103.1,39272.0,114.91
2021-12-01,2021,12,125776817,3.2,93.7,99.7,38120.0,110.13
2022-01-01,2022,1,125776076,3.1,94.5,100.9,38294.0,102.97
2022-02-01,2022,2,125774614,3.0,94.4,104.6,37932.0,123.16
2022-03-01,2022,3,125773861,3.1,94.5,104.0,38317.0,110.61
2022-04-01,2022,4,125774141,3.1,96.3,101.3,39235.0,118.85
2022-05-01,2022,5,125772827,3.3,97.7,101.7,40167.0,114.86
2022-06-01,2022,6,125772138,3.1,97.4,102.4,39400.0,113.1
2022-07-01,2022,7,125771227,3.0,97.9,104.2,40140.0,115.4
2022-08-01,2022,8,125770644,3.0,97.8,99.8,39993.0,111.04
2022-09-01,2022,9,125769780,2.8,96.7,105.3,39296.0,113.41
2022-10-01,2022,10,125768794,2.8,97.6,102.3,39610.0,107.69
2022-11-01,2022,11,125767577,2.8,97.9,102.4,40846.0,105.53
2022-12-01,2022,12,125766483,2.7,99.8,103.9,40987.0,102.57
2023-01-01,2023,1,125765617,2.8,100.5,105.7,39587.0,117.05
2023-02-01,2023,2,125765766,2.8,100.9,106.6,41765.0,107.39
2023-03-01,2023,3,125764556,2.8,100.5,102.0,39095.0,106.16
2023-04-01,2023,4,125763539,2.9,102.9,101.9,41566.0,108.93
2023-05-01,2023,5,125762514,2.9,102.4,104.8,40654.0,112.46
2023-06-01,2023,6,125761658,3.2,102.2,103.0,39820.0,107.22
2023-07-01,2023,7,125760340,3.3,103.8,103.1,39935.0,112.36
2023-08-01,2023,8,125759064,3.3,104.0,101.3,42353.0,118.98
2023-09-01,2023,9,125757757,3.3,104.2,105.1,41507.0,120.05
2023-10-01,2023,10,125756669,3.2,102.8,103.0,40524.0,118.97
2023-11-01,2023,11,125755410,3.2,102.9,107.0,43115.0,107.35
2023-12-01,2023,12,125754165,3.3,104.1,108.4,41398.0,108.2
2024-01-01,2024,1,125753461,3.4,105.6,105.8,42190.0,115.85
2024-02-01,2024,2,125753152,3.5,106.3,105.2,42474.0,105.92
2024-03-01,2024,3,125752336,3.5,107.3,107.6,41660.0,110.23
2024-04-01,2024,4,125750656,3.6,108.9,109.4,41482.0,111.1
2024-05-01,2024,5,125749781,3.7,109.6,105.8,42522.0,110.93
2024-06-01,2024,6,125748558,3.8,111.2,103.2,42374.0,106.5
2024-07-01,2024,7,125748155,3.6,110.8,106.2,43719.0,109.67
2024-08-01,2024,8,125746877,3.8,109.1,101.1,42269.0,107.49
2024-09-01,2024,9,125745367,3.8,109.3,104.5,40584.0,114.36
2024-10-01,2024,10,125744692,3.8,111.3,103.6,40739.0,106.54
2024-11-01,2024,11,125743669,3.8,111.2,106.5,40996.0,117.22
2024-12-01,2024,12,125742628,3.9,112.1,106.8,42987.0,112.24
