売上ID,日付,商品コード,数量,顧客ID
S00001,2024-11-30,P007,3,C0075
S00002,2025-05-04,P008,5,C0063
S00003,2025-02-21,P006,4,C0072
S00004,2024-08-19,P007,3,C0030
S00005,2025-07-17,P010,2,C0152
S00006,2025-02-21,P009,2,C0175
S00007,2025-02-11,P009,1,C0187
S00008,2024-10-13,P008,2,C0113
S00009,2024-11-03,P005,1,C0105
S00010,2025-06-05,P008,2,C0163
S00011,2025-04-10,P005,2,C0065
S00012,2025-03-22,P003,4,C0097
S00013,2025-04-17,P002,4,C0154
S00014,2025-04-22,P008,5,C0103
S00015,2024-12-28,P009,5,C0178
S00016,2024-10-09,P007,5,C0010
S00017,2024-10-03,P006,5,C0153
S00018,2025-03-01,P002,1,C0197
S00019,2024-11-24,P004,3,C0043
S00020,2025-05-05,P010,1,C0145
S00021,2024-10-30,P007,3,C0111
S00022,2025-07-11,P002,1,C0026
S00023,2025-01-15,P005,2,C0131
S00024,2024-10-24,P009,5,C0149
S00025,2024-10-04,P010,2,C0115
S00026,2024-11-19,P006,4,C0119
S00027,2024-11-07,P010,5,C0039
S00028,2024-12-28,P006,1,C0124
S00029,2024-11-23,P002,3,C0107
S00030,2024-08-24,P002,1,C0187
S00031,2025-03-22,P003,3,C0080
S00032,2025-03-10,P006,4,C0053
S00033,2024-08-13,P009,4,C0090
S00034,2025-03-18,P008,1,C0113
S00035,2024-08-23,P008,3,C0018
S00036,2024-10-08,P005,1,C0182
S00037,2024-10-30,P002,1,C0088
S00038,2025-03-02,P002,2,C0190
S00039,2025-04-11,P004,5,C0045
S00040,2025-03-23,P009,2,C0085
S00041,2025-05-27,P009,4,C0119
S00042,2024-11-01,P004,4,C0162
S00043,2025-05-19,P003,2,C0164
S00044,2024-09-04,P007,4,C0008
S00045,2025-02-23,P010,2,C0116
S00046,2025-02-06,P010,4,C0100
S00047,2024-11-09,P001,2,C0053
S00048,2025-03-06,P005,1,C0148
S00049,2024-12-18,P002,5,C0048
S00050,2024-08-24,P006,3,C0051
S00051,2025-03-01,P008,1,C0068
S00052,2024-08-04,P008,5,C0164
S00053,2025-04-02,P006,5,C0100
S00054,2025-01-28,P010,4,C0151
S00055,2024-10-21,P002,3,C0091
S00056,2025-05-28,P008,5,C0045
S00057,2025-03-01,P005,5,C0152
S00058,2025-03-30,P002,2,C0081
S00059,2025-04-19,P002,2,C0079
S00060,2025-07-07,P002,2,C0096
S00061,2024-12-05,P003,5,C0100
S00062,2024-11-25,P007,5,C0036
S00063,2024-11-10,P010,4,C0109
S00064,2025-07-22,P003,4,C0163
S00065,2025-05-14,P009,2,C0143
S00066,2025-04-22,P003,4,C0074
S00067,2025-03-15,P003,2,C0081
S00068,2025-05-21,P008,5,C0014
S00069,2025-06-04,P006,1,C0125
S00070,2025-03-16,P003,2,C0099
S00071,2025-01-12,P009,5,C0168
S00072,2025-07-16,P008,4,C0176
S00073,2024-07-25,P008,4,C0182
S00074,2025-02-17,P008,4,C0043
S00075,2024-12-24,P002,5,C0008
S00076,2024-12-22,P004,3,C0009
S00077,2025-05-26,P005,2,C0138
S00078,2025-02-16,P005,2,C0200
S00079,2025-05-09,P008,5,C0191
S00080,2025-06-07,P008,5,C0131
S00081,2024-09-02,P002,5,C0030
S00082,2025-07-06,P005,5,C0094
S00083,2024-12-12,P009,1,C0195
S00084,2025-02-09,P008,5,C0056
S00085,2025-05-25,P007,1,C0189
S00086,2025-05-08,P004,3,C0009
S00087,2025-01-27,P008,3,C0090
S00088,2024-10-01,P002,4,C0031
S00089,2024-11-30,P004,2,C0189
S00090,2024-08-05,P010,3,C0182
S00091,2024-07-25,P010,4,C0043
S00092,2025-05-11,P010,2,C0053
S00093,2025-03-07,P004,1,C0146
S00094,2024-11-03,P006,5,C0072
S00095,2025-06-23,P010,5,C0044
S00096,2024-12-05,P006,3,C0075
S00097,2025-07-12,P010,3,C0132
S00098,2025-01-07,P002,2,C0193
S00099,2025-04-19,P007,1,C0071
S00100,2025-07-09,P003,2,C0064
S00101,2025-02-20,P003,3,C0064
S00102,2024-09-09,P007,4,C0037
S00103,2025-07-12,P010,3,C0161
S00104,2024-12-23,P007,4,C0116
S00105,2025-04-30,P002,1,C0104
S00106,2024-12-16,P009,3,C0178
S00107,2024-12-31,P006,4,C0125
