在庫管理システム - 倉庫A,,,,,
最終更新：2024年12月20日 15:30,,,,,
,,,,,
商品コード,商品名,在庫数,単価,総額,最終入荷日
PRD-001,ノートパソコン,15台,"¥80,000","¥1,200,000",2024/12/15
PRD002,デスクトップPC,8,120000,"960,000円",2024/12/10
PRD-003,プリンター,25台,"¥45,000",,2024/12/12
,,,,,
PRD-004,モニター（24インチ）,30,25000円,"¥750,000",2024年12月8日
PRD-005,キーボード,50個,"¥3,000",150000,24/12/5
PRD-006,マウス,80,"¥2,500","200,000",2024/12/3
,,,,,
＊小計,,208,,"¥3,260,000",
,,,,,
PRD-007,ヘッドセット,20台,8000,"160,000円",2024/11/28
PRD008,Webカメラ,35,"¥12,000",420000,2024/11/25
PRD-009,スピーカー,15台,"¥15,000","¥225,000",2024/11/20
