がく片長,がく片幅,花弁長,花弁幅,品種,採取地,採取日
5.2,3.3,1.6,0.4,スミレ,大田区,2024-07-24
4.9,3.3,1.8,0.3,スミレ,川崎市中原区,2025-02-17
4.8,3.6,1.4,0.2,スミレ,葛飾区,2023-10-12
5.1,2.7,1.2,0.1,スミレ,練馬区,2024-09-06
4.6,3.5,1.3,0.1,スミレ,あきる野市,2025-02-12
5.5,3.3,1.5,0.1,スミレ,横浜市保土ケ谷区,2023-12-10
4.8,3.4,1.3,0.2,スミレ,横浜市緑区,2023-11-13
4.8,3.3,1.4,0.4,スミレ,羽村市,2024-10-13
5.0,3.0,1.6,0.1,スミレ,利島村,2024-11-16
5.1,2.7,1.3,0.2,スミレ,中央区,2023-11-09
5.3,3.5,1.5,0.2,スミレ,武蔵村山市,2024-07-25
4.5,3.1,1.4,0.3,スミレ,印旛郡印旛村,2025-01-02
5.1,2.7,1.6,0.2,スミレ,大田区,2025-07-24
4.8,3.6,1.7,0.3,スミレ,御蔵島村,2024-07-23
4.7,3.3,1.6,0.3,スミレ,福生市,2024-12-29
4.8,3.3,1.3,0.1,スミレ,横浜市泉区,2024-03-16
5.3,3.9,1.5,0.3,スミレ,横浜市中区,2024-02-15
5.1,3.2,1.6,0.4,スミレ,長生郡睦沢町,2024-06-27
5.0,4.0,1.1,0.3,スミレ,横浜市中区,2025-04-05
5.0,3.3,1.5,0.1,スミレ,川崎市多摩区,2024-02-13
4.9,3.5,1.8,0.1,スミレ,川崎市中原区,2024-03-25
4.7,3.2,1.7,0.2,スミレ,世田谷区,2023-09-04
4.8,3.6,1.5,0.3,スミレ,東村山市,2023-10-06
4.8,3.3,1.4,0.1,スミレ,横浜市港南区,2025-03-12
5.1,3.5,1.5,0.2,スミレ,山武郡芝山町,2025-06-06
4.5,3.2,1.4,0.1,スミレ,八王子市,2024-05-10
4.9,3.6,1.8,0.2,スミレ,墨田区,2023-10-30
5.1,3.4,1.2,0.2,スミレ,東久留米市,2024-09-21
5.0,4.3,1.5,0.2,スミレ,目黒区,2025-04-07
5.0,3.0,1.7,0.3,スミレ,横浜市青葉区,2025-05-08
5.3,3.1,1.7,0.1,スミレ,白井市,2024-04-15
5.2,4.2,1.3,0.1,スミレ,小笠原村,2024-06-09
5.0,3.2,1.2,0.2,スミレ,横浜市旭区,2025-07-12
4.6,3.6,1.3,0.4,スミレ,横浜市港南区,2025-06-17
4.7,3.3,1.6,0.1,スミレ,印西市,2025-06-28
5.1,3.9,1.2,0.2,スミレ,世田谷区,2023-09-19
5.1,3.7,1.3,0.1,スミレ,浦安市,2024-12-15
5.2,3.5,1.5,0.2,スミレ,西多摩郡日の出町,2023-08-14
4.8,3.5,1.5,0.1,スミレ,長生郡白子町,2024-11-16
5.7,3.6,1.3,0.3,スミレ,品川区,2025-07-12
4.7,3.7,1.7,0.1,スミレ,八千代市,2024-03-09
5.3,3.6,1.6,0.4,スミレ,杉並区,2023-11-22
4.9,3.1,1.3,0.1,スミレ,利島村,2024-07-20
5.0,3.5,1.5,0.3,スミレ,長生郡白子町,2024-09-30
5.0,4.0,1.5,0.5,スミレ,横浜市神奈川区,2024-11-08
