年月,地域,店舗名,売上金額,粗利益,顧客数,販売数量
2023-01,中国,岡山店,250006,91465,719,1417
2023-01,中国,広島店,278434,102309,732,1604
2023-01,中国,鳥取店,165413,62209,564,979
2023-01,中部,名古屋店,260610,95433,714,1491
2023-01,中部,新潟店,319007,116540,797,1786
2023-01,中部,金沢店,432011,156620,989,2365
2023-01,中部,静岡店,309204,113700,782,1760
2023-01,九州,熊本店,250429,91944,716,1409
2023-01,九州,福岡店,87651,33474,397,557
2023-01,九州,長崎店,134539,50784,494,826
2023-01,九州,鹿児島店,208590,76989,639,1208
2023-01,北海道,函館店,189410,70108,603,1103
2023-01,北海道,旭川店,94205,36078,407,602
2023-01,北海道,札幌店,121098,45544,477,755
2023-01,四国,松山店,186784,70007,582,1100
2023-01,四国,高松店,262774,96552,721,1495
2023-01,東北,仙台店,173772,65096,562,1036
2023-01,東北,盛岡店,130607,49449,482,800
2023-01,東北,秋田店,129263,48188,489,785
2023-01,東北,青森店,167248,62500,577,987
2023-01,関東,千葉店,265182,97346,721,1506
2023-01,関東,大宮店,399896,144805,919,2200
2023-01,関東,川崎店,238764,87881,679,1381
2023-01,関東,東京都心店,771220,275767,1487,4007
2023-01,関東,横浜店,457146,165609,980,2479
2023-01,関東,立川店,238743,87741,680,1374
2023-01,関西,京都店,241805,88714,696,1372
2023-01,関西,大阪梅田店,754842,269725,1480,3897
2023-01,関西,奈良店,311948,114307,806,1731
2023-01,関西,神戸店,475739,171242,1000,2543
2023-02,中国,岡山店,200274,73558,583,1164
2023-02,中国,広島店,240471,88351,665,1371
2023-02,中国,鳥取店,127513,47350,459,778
2023-02,中部,名古屋店,220736,80699,630,1249
2023-02,中部,新潟店,256423,94076,682,1469
2023-02,中部,金沢店,353141,128283,821,1943
2023-02,中部,静岡店,251409,92191,663,1439
2023-02,九州,熊本店,211207,77931,613,1210
2023-02,九州,福岡店,65184,25211,316,431
2023-02,九州,長崎店,110013,41097,425,677
2023-02,九州,鹿児島店,165850,62456,520,1006
2023-02,北海道,函館店,154453,57843,510,914
2023-02,北海道,旭川店,76127,29369,340,489
2023-02,北海道,札幌店,92786,35478,386,583
2023-02,四国,松山店,156380,58339,529,926
2023-02,四国,高松店,215639,78998,626,1250
2023-02,東北,仙台店,143016,53213,487,850
2023-02,東北,盛岡店,98966,37907,403,616
2023-02,東北,秋田店,93411,35445,384,582
2023-02,東北,青森店,136564,51037,480,818
2023-02,関東,千葉店,220538,81079,614,1258
2023-02,関東,大宮店,334998,122417,795,1851
2023-02,関東,川崎店,195259,72421,587,1145
2023-02,関東,東京都心店,666130,238702,1334,3475
2023-02,関東,横浜店,375431,137393,839,2069
2023-02,関東,立川店,194214,71432,584,1130
2023-02,関西,京都店,193070,71286,588,1122
2023-02,関西,大阪梅田店,635429,227191,1232,3293
2023-02,関西,奈良店,250549,92005,647,1428
2023-02,関西,神戸店,395525,142997,888,2165
2023-03,中国,岡山店,268520,98312,731,1519
2023-03,中国,広島店,312829,115122,763,1769
2023-03,中国,鳥取店,179352,66462,579,1036
2023-03,中部,名古屋店,297025,108138,769,1655
2023-03,中部,新潟店,357301,130399,861,1974
2023-03,中部,金沢店,467427,169317,993,2534
2023-03,中部,静岡店,337577,123566,824,1913
2023-03,九州,熊本店,264479,97448,717,1502
2023-03,九州,福岡店,96731,37138,415,613
2023-03,九州,長崎店,147839,55530,519,897
2023-03,九州,鹿児島店,241596,88910,696,1391
2023-03,北海道,函館店,186096,69480,584,1108
2023-03,北海道,旭川店,108351,41137,441,676
2023-03,北海道,札幌店,135176,50501,500,828
2023-03,四国,松山店,196355,72957,603,1162
2023-03,四国,高松店,266267,98210,725,1531
2023-03,東北,仙台店,186986,69682,599,1108
2023-03,東北,盛岡店,153832,57294,540,922
2023-03,東北,秋田店,135336,50871,494,832
2023-03,東北,青森店,183922,68428,587,1065
2023-03,関東,千葉店,280956,102998,757,1600
2023-03,関東,大宮店,433209,157267,968,2385
2023-03,関東,川崎店,267606,98324,713,1518
2023-03,関東,東京都心店,822545,293972,1588,4258
2023-03,関東,横浜店,502565,181943,1064,2682
2023-03,関東,立川店,263334,97047,730,1491
2023-03,関西,京都店,267258,98000,730,1504
2023-03,関西,大阪梅田店,806391,288145,1564,4178
2023-03,関西,奈良店,329143,120549,801,1855
2023-03,関西,神戸店,500542,181012,1051,2702
2023-04,中国,岡山店,279812,102220,721,1567
2023-04,中国,広島店,344366,125471,821,1901
2023-04,中国,鳥取店,185952,69065,580,1103
2023-04,中部,名古屋店,312717,114948,791,1768
2023-04,中部,新潟店,367771,133993,883,2052
2023-04,中部,金沢店,502831,181897,1059,2707
2023-04,中部,静岡店,367482,134272,847,2028
