日付,年,月,日,曜日,平均気温,最高気温,最低気温,湿度,降水量,気圧,風速,日照時間,観測地点,天気
2023-01-01,2023,1,1,日,0.5,2.6,1.6,53.0,0.3,1011.6,0.7,4.0,東京,晴れ
2023-01-02,2023,1,2,月,-1.3,3.3,-5.7,52.0,0.0,1013.4,7.2,8.3,東京,晴れ
2023-01-03,2023,1,3,火,5.3,15.1,2.6,72.0,0.0,1026.9,6.5,7.1,東京,雪
2023-01-04,2023,1,4,水,1.4,8.6,0.5,43.0,0.1,1023.3,0.1,6.7,東京,曇り
2023-01-05,2023,1,5,木,8.3,12.8,4.9,43.0,0.0,1023.0,6.4,4.4,東京,晴れ
2023-01-06,2023,1,6,金,3.3,6.7,-1.4,64.0,2.6,1019.6,3.5,4.8,東京,曇り
2023-01-07,2023,1,7,土,8.4,14.1,2.7,51.0,2.4,1010.1,4.7,9.2,東京,曇り
2023-01-08,2023,1,8,日,4.6,12.0,1.5,62.0,0.0,1001.6,1.8,6.3,東京,雪
2023-01-09,2023,1,9,月,6.7,11.5,4.3,81.0,0.0,1025.9,0.2,8.1,東京,雪
2023-01-10,2023,1,10,火,7.7,13.1,6.8,89.0,0.0,1008.9,9.4,7.9,東京,曇り
2023-01-11,2023,1,11,水,4.2,12.4,-1.1,64.0,0.0,1019.6,2.2,7.4,東京,曇り
2023-01-12,2023,1,12,木,2.5,6.0,-0.4,53.0,6.9,1013.6,1.5,6.7,東京,曇り
2023-01-13,2023,1,13,金,2.0,8.4,-4.3,54.0,0.0,1013.1,4.0,5.0,東京,雪
2023-01-14,2023,1,14,土,5.2,9.1,5.3,55.0,0.0,1008.9,4.6,4.4,東京,曇り
2023-01-15,2023,1,15,日,-2.5,1.8,-5.7,59.0,0.0,1022.9,10.1,3.9,東京,晴れ
2023-01-16,2023,1,16,月,1.7,5.4,-0.9,63.0,0.0,1030.5,5.0,7.6,東京,曇り
2023-01-17,2023,1,17,火,7.1,12.2,6.2,48.0,0.0,1009.4,0.7,8.9,東京,雨
2023-01-18,2023,1,18,水,8.2,13.9,6.0,67.0,0.0,1014.9,4.4,5.6,東京,曇り
2023-01-19,2023,1,19,木,1.9,7.4,-0.9,56.0,0.0,1000.9,5.4,5.6,東京,晴れ
2023-01-20,2023,1,20,金,4.2,11.9,4.7,56.0,0.0,1021.0,0.3,6.8,東京,雨
2023-01-21,2023,1,21,土,7.1,15.2,8.1,58.0,0.0,1009.2,2.6,6.4,東京,晴れ
2023-01-22,2023,1,22,日,14.8,17.1,11.4,74.0,0.2,1019.1,3.3,10.3,東京,曇り
2023-01-23,2023,1,23,月,4.8,8.7,-2.0,54.0,0.0,1008.9,1.3,8.1,東京,晴れ
2023-01-24,2023,1,24,火,2.9,8.4,2.6,48.0,0.1,1011.1,2.1,3.3,東京,晴れ
2023-01-25,2023,1,25,水,-0.3,7.1,-5.8,51.0,0.0,1011.9,5.3,6.9,東京,雨
2023-01-26,2023,1,26,木,1.0,9.2,-1.3,64.0,7.0,1011.8,0.3,5.1,東京,雪
2023-01-27,2023,1,27,金,8.8,15.0,10.1,66.0,0.7,1029.8,0.8,6.4,東京,晴れ
2023-01-28,2023,1,28,土,2.8,5.5,0.1,57.0,3.9,1017.8,1.7,5.0,東京,曇り
2023-01-29,2023,1,29,日,5.6,9.1,3.7,56.0,0.0,1001.6,1.6,7.1,東京,曇り
2023-01-30,2023,1,30,月,8.4,16.5,10.8,44.0,0.0,1020.8,1.4,8.3,東京,雪
2023-01-31,2023,1,31,火,5.5,9.2,2.4,69.0,0.0,1015.1,1.4,5.4,東京,雨
2023-02-01,2023,2,1,水,0.6,3.7,-1.6,60.0,2.0,1015.4,0.0,4.8,東京,雨
2023-02-02,2023,2,2,木,4.6,12.0,0.6,69.0,0.0,999.5,5.9,5.2,東京,曇り
2023-02-03,2023,2,3,金,6.0,13.8,4.0,41.0,0.0,1009.5,0.0,8.3,東京,雨
2023-02-04,2023,2,4,土,10.9,14.9,8.5,81.0,0.0,1024.3,2.0,6.8,東京,晴れ
2023-02-05,2023,2,5,日,5.7,13.0,5.4,34.0,0.0,1011.6,5.7,5.3,東京,雨
2023-02-06,2023,2,6,月,1.7,12.1,-0.9,35.0,0.0,1006.5,5.0,7.0,東京,晴れ
2023-02-07,2023,2,7,火,14.9,20.0,6.4,53.0,1.1,1009.4,0.6,5.5,東京,曇り
2023-02-08,2023,2,8,水,2.9,6.9,-1.9,62.0,0.0,1014.4,1.6,7.7,東京,雨
2023-02-09,2023,2,9,木,3.8,8.4,3.4,45.0,0.0,1004.1,7.2,6.3,東京,曇り
2023-02-10,2023,2,10,金,7.9,12.7,4.7,58.0,0.0,1016.4,2.2,6.4,東京,晴れ
2023-02-11,2023,2,11,土,2.2,9.0,-3.1,50.0,3.8,999.9,2.2,5.3,東京,雨
2023-02-12,2023,2,12,日,9.6,12.8,7.6,55.0,0.0,1019.0,0.2,5.0,東京,雪
2023-02-13,2023,2,13,月,5.6,10.2,8.0,70.0,3.7,1018.1,1.8,4.3,東京,雪
2023-02-14,2023,2,14,火,1.6,7.1,-0.0,58.0,0.8,1014.7,0.0,6.4,東京,曇り
2023-02-15,2023,2,15,水,2.2,5.0,1.4,51.0,0.0,1013.2,6.1,5.7,東京,晴れ
2023-02-16,2023,2,16,木,2.7,7.9,0.9,72.0,0.0,1014.5,2.1,6.7,東京,雨
2023-02-17,2023,2,17,金,3.4,6.9,0.3,57.0,0.0,1014.1,4.0,6.7,東京,雪
